Nederlands,Engels
aanleggen,build / install
af en toe,occasionally
afmaken,finish
belemmeren,hinder
bepalen,determine
bezuinigen,economize / save
bovendien,In addition / besides
de achterstand,the delay
de beperking,the limitation
de binding,bond
de factor,factor
de kennis,knowledge
de maatregel,the measure
de nadruk,emphasis
de orde,order
de regering,governament
de tegenslag,setback
de tegenstander,opponent
de vaardigheid,skill
de vakbond,union
de voorkeur,preference
de voorzitter,chairman
degene,the only one
doorgaan,continue
dreigen,threaten
gericht zijn (op),aimed at
handhaven,maintain / keep up
het collegegeld,tuition fees
het gebrek,lack
het leger,army
het middel,measure / medicine / cure
het ministerie,ministry
het onderhoud,maintenance / upkeep
het uniform,uniform
het vak,subject
inleveren,hand in
kortom,in short
meedoen,participate
meetellen,count in / include
meevallen,exceed
minstens,minimum / at least
nadrukkelijk,emphatically
nakijken,check / examine
neerleggen,deposit / put down
omdraaien,turn around
ondanks,despite
ondersteunen,support
ontspannen,relaxed / loose
opbouwen,build up
opgeven,give up
ophouden (met),stop with
opzoeken,look for / seek
ouderwets,old fashioned
pesten,devil
plaatsvinden,take place
richten,target
spijbelen,skip class
tegenvallen,disappoint
toepassen,apply
traag,slow
uiteindelijk,finally
uiteraard,of course
uitleggen,to explain
uitspreken,to pronounce
uitvoeren,to carry out
uitzoeken,to investigate
van belang,of importance
vanwege,because
verantwoordelijk,responsible
verkeren,concern
vermoedelijk,presumably
vernederend,demeaning
"veroorloven, zich",afford it
verplicht,mandatory
voorkomen,appearance
